s009_f00092_ts1468240733_Phys.root  0.01041  1.02402  0.01016
s009_f00093_ts1468244337_Phys.root  0.00410  1.02869  0.00398
s009_f00094_ts1468247941_Phys.root  0.00000  1.04167  0.00000
s010_f00000_ts1468249132_Phys.root  0.88506  1.12562  0.78629
s010_f00001_ts1468249610_Phys.root  0.47054  1.05629  0.44546
s010_f00002_ts1468251119_Phys.root  0.12661  1.02326  0.12374
s010_f00003_ts1468251796_Phys.root  0.46206  1.06002  0.43590
s010_f00004_ts1468252431_Phys.root  0.43116  1.07577  0.40079
s010_f00005_ts1468253133_Phys.root  0.43830  1.06596  0.41118
s010_f00006_ts1468256464_Phys.root  0.42967  1.05495  0.40729
s010_f00007_ts1468257097_Phys.root  0.47781  1.07946  0.44264
s010_f00008_ts1468257733_Phys.root  0.10417  1.03009  0.10112
s010_f00009_ts1468258399_Phys.root  0.22327  1.04060  0.21456
s010_f00010_ts1468259131_Phys.root  0.47070  1.05922  0.44438
s010_f00011_ts1468260020_Phys.root  0.45671  1.04939  0.43522
s010_f00012_ts1468260686_Phys.root  0.45475  1.06425  0.42730
s010_f00013_ts1468261318_Phys.root  0.44107  1.05955  0.41628
s010_f00014_ts1468262059_Phys.root  0.45912  1.06300  0.43190
s010_f00015_ts1468262988_Phys.root  0.11087  1.01279  0.10947
s011_f00000_ts1468271526_Phys.root  0.00819  1.03618  0.00791
s011_f00001_ts1468275129_Phys.root  0.01210  1.01779  0.01189
s011_f00002_ts1468278733_Phys.root  0.00933  1.05040  0.00889
s011_f00003_ts1468282336_Phys.root  0.01333  1.05053  0.01269
s011_f00004_ts1468285940_Phys.root  0.00551  1.02410  0.00538
s011_f00005_ts1468289543_Phys.root  0.00548  1.02125  0.00537
s011_f00006_ts1468293147_Phys.root  0.01372  1.04527  0.01312
s011_f00007_ts1468296751_Phys.root  0.00941  1.03259  0.00912
s011_f00008_ts1468300354_Phys.root  0.01156  1.02245  0.01131
s011_f00009_ts1468303958_Phys.root  0.00949  1.02642  0.00924
s011_f00010_ts1468307561_Phys.root  0.00847  1.02541  0.00826
s011_f00011_ts1468311165_Phys.root  0.00837  1.02586  0.00815
s011_f00012_ts1468314769_Phys.root  0.00892  1.03325  0.00863
s011_f00013_ts1468318372_Phys.root  0.00247  1.03460  0.00239
s011_f00014_ts1468321976_Phys.root  0.00891  1.03806  0.00858
s011_f00015_ts1468325579_Phys.root  0.01009  1.04683  0.00964
s011_f00016_ts1468329183_Phys.root  0.00575  1.02730  0.00559
s011_f00017_ts1468332786_Phys.root  0.01032  1.02360  0.01009
s011_f00018_ts1468336390_Phys.root  0.00758  1.04442  0.00726
s012_f00000_ts1468338671_Phys.root  0.01211  1.03297  0.01173
s012_f00001_ts1468342274_Phys.root  0.00882  1.02442  0.00861
s012_f00002_ts1468345878_Phys.root  0.00721  1.03172  0.00699
s012_f00003_ts1468349481_Phys.root  0.00693  1.03116  0.00672
s012_f00004_ts1468353085_Phys.root  0.01191  1.03574  0.01150
s012_f00005_ts1468356689_Phys.root  0.00742  1.02699  0.00723
s012_f00006_ts1468360292_Phys.root  0.00902  1.03121  0.00874
s012_f00007_ts1468363896_Phys.root  0.00968  1.02282  0.00947
s012_f00008_ts1468367499_Phys.root  0.01281  1.01686  0.01260
s012_f00009_ts1468371103_Phys.root  0.00615  1.02152  0.00602
s012_f00010_ts1468374707_Phys.root  0.00816  1.03467  0.00788
s012_f00011_ts1468378310_Phys.root  0.00898  1.02488  0.00877
s012_f00012_ts1468381914_Phys.root  0.01492  1.04203  0.01431
s012_f00013_ts1468385518_Phys.root  0.00974  1.09091  0.00893
s012_f00014_ts1468389121_Phys.root  0.01073  1.02146  0.01050
s012_f00015_ts1468392725_Phys.root  0.00927  1.03207  0.00898
s012_f00016_ts1468396328_Phys.root  0.01205  1.01559  0.01186
s012_f00017_ts1468399932_Phys.root  0.00544  1.02109  0.00533
s012_f00018_ts1468403536_Phys.root  0.01243  1.04186  0.01193
s012_f00019_ts1468407139_Phys.root  0.01068  1.04840  0.01018
s012_f00020_ts1468410743_Phys.root  0.00693  1.02386  0.00677
s012_f00021_ts1468414346_Phys.root  0.01230  1.03552  0.01187
s012_f00022_ts1468417950_Phys.root  0.01505  1.02079  0.01475
s012_f00023_ts1468421554_Phys.root  0.01415  1.03539  0.01367
s012_f00024_ts1468425157_Phys.root  0.00772  1.03160  0.00749
s012_f00025_ts1468428761_Phys.root  0.01085  1.01881  0.01065
s012_f00026_ts1468432364_Phys.root  0.01335  1.03605  0.01289
s012_f00027_ts1468435968_Phys.root  0.01122  1.05215  0.01066
s012_f00028_ts1468439572_Phys.root  0.00747  1.01833  0.00733
s012_f00029_ts1468443175_Phys.root  0.01106  1.02281  0.01081
s012_f00030_ts1468446779_Phys.root  0.01210  1.03026  0.01175
s012_f00031_ts1468450382_Phys.root  0.00905  1.02923  0.00879
s012_f00032_ts1468453986_Phys.root  0.00715  1.04094  0.00687
s012_f00033_ts1468457590_Phys.root  0.01205  1.04150  0.01157
s012_f00034_ts1468461193_Phys.root  0.00767  1.01953  0.00752
s012_f00035_ts1468464797_Phys.root  0.01035  1.03364  0.01001
s012_f00036_ts1468468400_Phys.root  0.00683  1.03484  0.00660
s012_f00037_ts1468472004_Phys.root  0.00953  1.06353  0.00896
s012_f00038_ts1468475608_Phys.root  0.01065  1.03338  0.01031
s012_f00039_ts1468479211_Phys.root  0.00609  1.02979  0.00592
s012_f00040_ts1468482815_Phys.root  0.01569  1.03791  0.01511
s012_f00041_ts1468486419_Phys.root  0.01517  1.03364  0.01468
s012_f00042_ts1468490022_Phys.root  0.01378  1.02550  0.01344
s012_f00043_ts1468493626_Phys.root  0.01032  1.01996  0.01012
s012_f00044_ts1468497229_Phys.root  0.00765  1.02714  0.00745
s012_f00045_ts1468500833_Phys.root  0.01070  1.03275  0.01036
s012_f00046_ts1468504437_Phys.root  0.01493  1.05834  0.01410
s012_f00047_ts1468508040_Phys.root  0.00264  1.05420  0.00251
s012_f00048_ts1468511644_Phys.root  0.01086  1.03259  0.01052
s012_f00049_ts1468515247_Phys.root  0.01021  1.03199  0.00989
s012_f00050_ts1468518851_Phys.root  0.00707  1.02121  0.00692
s012_f00051_ts1468522455_Phys.root  0.01299  1.02256  0.01270
s012_f00052_ts1468526058_Phys.root  0.00690  1.03699  0.00665
s012_f00053_ts1468529662_Phys.root  0.00887  1.02407  0.00866
s012_f00054_ts1468533265_Phys.root  0.01225  1.03738  0.01181
s012_f00055_ts1468536869_Phys.root  0.01125  1.06039  0.01061
s012_f00056_ts1468540473_Phys.root  0.00701  1.04968  0.00667
s012_f00057_ts1468544076_Phys.root  0.00705  1.04100  0.00677
s012_f00058_ts1468547680_Phys.root  0.00843  1.02009  0.00826
s012_f00059_ts1468551284_Phys.root  0.00574  1.02358  0.00560
s012_f00060_ts1468554887_Phys.root  0.01424  1.02913  0.01384
s012_f00061_ts1468558491_Phys.root  0.00782  1.03257  0.00757
s012_f00062_ts1468562094_Phys.root  0.01382  1.04648  0.01321
s012_f00063_ts1468565698_Phys.root  0.00687  1.02873  0.00668
s012_f00064_ts1468569302_Phys.root  0.01317  1.02006  0.01291
s012_f00065_ts1468572905_Phys.root  0.00881  1.02371  0.00860
s012_f00066_ts1468576509_Phys.root  0.01582  1.02132  0.01549
s012_f00067_ts1468580113_Phys.root  0.00761  1.03171  0.00738
s012_f00068_ts1468583716_Phys.root  0.01407  1.03389  0.01361
s012_f00069_ts1468587320_Phys.root  0.00759  1.01863  0.00745
s012_f00070_ts1468590923_Phys.root  0.01566  1.02505  0.01527
s013_f00000_ts1468593310_Phys.root  0.00967  1.05683  0.00915
s013_f00001_1468596008_Phys.root  0.00575  1.02730  0.00559
s014_f00000_ts1468604891_Phys.root  0.00767  1.04604  0.00733
s014_f00000_ts1468606025_Phys.root  0.01070  1.03965  0.01029
